Date,Chemical Name,Price/Kg,Packing,Purity,Chemical Nature,Supplier Country,Storing Container,Supplier Company,Boiling Point,Composition,Usage,Price/MT,Quality
3/20/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/21/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/22/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/23/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/24/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/25/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/26/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/27/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/28/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/29/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/30/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/31/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
