Date,Chemical Name,Price/Kg,Packing,Purity,Chemical Nature,Supplier Country,Storing Container,Supplier Company,Boiling Point,Composition,Usage,Price/MT,Quality
3/6/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/7/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/8/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/9/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/10/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/11/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/12/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/13/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/14/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/15/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/16/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/17/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/18/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/19/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/20/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/21/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/22/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/23/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/24/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/25/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/26/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/27/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/28/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/29/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/30/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/31/2024,Pigment Gum,260,60,93,liquid,France,Plastic Drum,SNF Co & Ltd,100,Acrylic Polymer Emulsion,gum for paste hardening,2060,Bad
3/1/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/2/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/3/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/4/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/5/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/6/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/7/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/8/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/9/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/10/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/11/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/12/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/13/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/14/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/15/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/16/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/17/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/18/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/19/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/20/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/21/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/22/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/23/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/24/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/25/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/26/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/27/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/28/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/29/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/30/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/31/2024,Acrylic Polymer,228,50,37,liquid,India,Plastic Drum,Indofil Industries Limited,250,"Styrene Acrylic, Water","binder for paint,coatings",1420,Good
3/1/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/2/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/3/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/4/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/5/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/6/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/7/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/8/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/9/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/10/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/11/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/12/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/13/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/14/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/15/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/16/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/17/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/18/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/19/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/20/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/21/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/22/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/23/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/24/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/25/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/26/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/27/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/28/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/29/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/30/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/31/2024,Apriton,205,50,60,Paste,Taiwan,Plastic Drum,Great Gear Commerce Co. Ltd.,70,"Polyvinyl Acetate, Polyvinyl Alcohol",used in coatings and adhesives,1130,Good
3/1/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/2/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/3/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/4/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/5/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/6/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/7/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/8/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/9/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/10/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/11/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/12/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/13/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/14/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/15/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/16/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/17/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/18/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
3/19/2024,PVA,436,20,82,granular,Taiwan,Paper Bag,Welfson Limited,200,"Carbon, Hydrogen, Oxygen",used as glue,2450,Good
